id_maquina	tipo	horas_prog	propiedad	fecha_ingreso	fecha_retiro	notas	frente
BL005	BULLDOZER	6.4	propia	2026-01-01		Propia ORTIZ (MC705987)	UF1-UF2
BL009	BULLDOZER	6.4	propia	2026-01-01	2026-08-20	Entregada (D136)	UF1-UF2
NH69	BULLDOZER	5	alquilada	2026-01-01	2026-08-20	DINISSAN. Devuelta (D136)	UF1-UF2
EXC001	EXCAVADORA	6.4	propia	2026-01-01	2026-08-20	Trabajó hasta el 18-ago, luego entregada a taller (D136)	UF1-UF2
EXC013	EXCAVADORA	6.4	propia	2026-01-01	2026-08-20	Devuelta (D136)	UF1-UF2
EXC014	EXCAVADORA	6.4	propia	2026-01-01	2026-08-20	Devuelta (D136)	UF1-UF2
EXC015	EXCAVADORA	6.4	propia	2026-01-01		Propia ORTIZ (MC706830)	UF1-UF2
EXC030	EXCAVADORA	5	alquilada	2026-09-01		EQUINORTE. Reemplaza a las excavadoras entregadas en ago-2026	UF1-UF2
EXC04	EXCAVADORA	5	alquilada	2026-09-03		EQUINORTE, excavadora sobre llantas	UF1-UF2
MC64	EXCAVADORA	5	alquilada	2026-02-14		GEOEXCON, retro de llantas 190 (responsable Oscar). 27-ago varada	UF1-UF2
CAT320	EXCAVADORA	5	alquilada	2026-01-01	2026-06-16	ASOTRASAT. Retirada jun-2026 (D61)	UF1-UF2
MO003	MOTONIVELADORA	6.4	propia	2026-01-01	2026-09-07	Entregada a taller el 5-sep (último parte 6-sep)	UF1-UF2
MO004	MOTONIVELADORA	6.4	propia	2026-01-01		Propia ORTIZ (MC725594)	UF1-UF2
MO009	MOTONIVELADORA	6.4	propia	2026-01-01		Propia ORTIZ (MC736181)	UF1-UF2
CAT120	MOTONIVELADORA	5	alquilada	2026-01-01	2026-06-21	ASOTRASAT. Retirada jun-2026 (D61, antes «MC705»)	UF1-UF2
NG002	FINISHER	6.4	propia	2026-01-01	2026-08-08	Intermitente: se trae solo cuando hay BTC (antes «FNG02»)	UF1-UF2
NG002	FINISHER	6.4	propia	2026-08-20	2026-09-07	BTC ago-sep. Entregada a taller desde el 4-sep	UF1-UF2
CR019	VIBROCOMPACTADOR	6.4	propia	2026-01-01		ORTIZ	UF1-UF2
CR013	VIBROCOMPACTADOR	6.4	propia	2026-01-01	2026-09-07	ORTIZ. Entregado a taller el 5-sep (último parte 6-sep)	UF1-UF2
CR016	VIBROCOMPACTADOR	6.4	propia	2026-01-01		ORTIZ	UF1-UF2
CR008	VIBROCOMPACTADOR	6.4	propia	2026-01-01	2026-08-08	ORTIZ. Intermitente: pareja del finisher (antes «CR08»)	UF1-UF2
CR008	VIBROCOMPACTADOR	6.4	propia	2026-08-20	2026-09-07	ORTIZ. BTC ago-sep, pareja del finisher. Entregado a taller el 4-sep	UF1-UF2
CS78B	VIBROCOMPACTADOR	5	alquilada	2026-01-01	2026-08-20	GEOEXCON. Trabajó hasta el 18-ago. Devuelto (D136)	UF1-UF2
NH403	VIBROCOMPACTADOR	5	alquilada	2026-01-01		DINISSAN	UF1-UF2
NH404	VIBROCOMPACTADOR	5	alquilada	2026-01-01	2026-08-20	DINISSAN. Devuelto (D136)	UF1-UF2
NH420	VIBROCOMPACTADOR	5	alquilada	2026-01-01	2026-08-20	DINISSAN. Devuelto (D136)	UF1-UF2
CAT900	VIBROCOMPACTADOR	5	alquilada	2026-01-01	2026-08-20	SK RENTAL. Devuelto (D136)	UF1-UF2
