tipo_equipo,descripcion_trabajo,veces
BRAZO ARTICULADO,"Cargue de cargador bocato min y cargue de vibrocompactador mini, cargue de bocato mini, cargador para PR15+200 a PR19+250",2
BULLDOZER,Conformacion de terraplen,46
BULLDOZER,Conformacion terraplen,23
BULLDOZER,Conformacion de botadero,22
BULLDOZER,Conformando rcd,18
BULLDOZER,Disponible por lluvia,13
BULLDOZER,Domingo,13
BULLDOZER,Conformacion de terraplen PR38,8
BULLDOZER,Conformacion botadero PR15,5
BULLDOZER,Conformacion RCD,5
BULLDOZER,Festivo,4
BULLDOZER,Disponible,3
BULLDOZER,Conformacion terraplen PR39,3
CAMABAJA,Disponible,9
CAMABAJA,Domingo,5
CAMABAJA,"Vibrocompactador PR10 a PR33 de dinissan, excavadora 15 PR33 a PR35, finisher PR33 a PR26, vibro PR19 a PR33, vibro 08 PR33 a PR26, se busca moto PR26 a PR14 para muro",4
CAMABAJA,"Bulldozer PR14 a PR25+700, vibrocompactador PR36+600 a PR35+400, descargar excavadora 09 PR33, motoniveladora PR33 a PR14+500 MSR, motoniveladora 03 PR37+500 a PR35+400, bulldozer PR25+700 a PR33, vibro PR20+400 a PR33",3
CAMABAJA,"Vibrocompactador PR17 al PR35, del PR37 al PR33, del PR33 al PR37, pajarita del PR14 al PR21",2
CAMABAJA,"Retro oruga 320 a PR14 a PR17, retro pajarita PR13 a PR32+500",2
CAMABAJA,Sin descripcion de actividad,2
CAMABAJA,"Movimiento mini cargador PR19 a PR35, vibrocompactador del PR19 a PR26",2
CAMABAJA,Disponible PR33,2
CAMABAJA,"Motoniveladora PR35 al PR36, pajarita PR33 al PR20 y del PR14 a PR35, vibro del PR33 al PR21 y PR36 al PR10, bulldozer PR35 a PR15",2
CAMABAJA,"Bulldozer de PR21 a PR15, motoniveladora PR21 a PR14",2
CAMABAJA,"Bulldozer de PR21 a PR15, pajarita PR14 a PR26",2
CAMION CISTERNA,Domingo,4
CAMION CISTERNA,"Humectacion de bases PR19- 20 - 21, lavado de via PR20 - 21 - 22, queda en PR33",4
CAMION CISTERNA,"Humectacion de bases PR45+700 y PR21, lavado de via PR21",4
CAMION CISTERNA,Llenado de vibros de asfalto,4
CAMION CISTERNA,"Humectacion de base PR20 - 21 - 19, lavado de via PR 19 - 20 - 21 - 22, queda en PR33",3
CAMION CISTERNA,Humectacion de base y limpieza via PR20 - PR21,3
CAMION CISTERNA,"Humectacion de bases PR26 y PR20, lavado de via PR20 y PR21",3
CAMION CISTERNA,"Humectacion de bases PR20, lavado de via PR20 y PR21",3
CAMION CISTERNA,Humectacion de bases PR145+700 - PR45+800 - PR21 y lavado de via,3
CAMION CISTERNA,"Cargue de carrotanque con agua, llenado de maquinaria de asfalto y vibros PR45+700",3
CAMION CISTERNA,"Humectacion de base PR21 - PR45+600, lavado de via, cargando carro, tanque de agua PR34",3
CAMION CISTERNA,"Cargando el carrotanque con agua, humectacion de bases, llenado de vibro,",3
CAMION TURBO MIXTA,Domingo,7
CAMION TURBO MIXTA,Sin descripcionn de actividad,3
CAMION TURBO MIXTA,"Movilizacion de maletines y avisos, movilizacion de PR16 a PR33 y a sabana",3
CAMION TURBO MIXTA,"Movilizacion de maletines y señalizaciones, movilizacion de tanque-mesa y carpa, cargue de amdamios en el puente sogamoso y descargue PR33, cargue de varillas PR34+200 y descargue PR33",3
CAMION TURBO MIXTA,"Movilizacion de formaletas en PR34+200, transporte de herramienta, escoltar maquinaria PR20 a PR16",3
CAMION TURBO MIXTA,"Movimiento de PMT de PR16 a PR15 y señalizaciones de obra, movimiento de formaletas y herramienta de bodega del PR33 al PR21, movimientos de formaletas y herramientas de ODT PR26 a PR25, movimiento interno en bodega, movimiento de formaletas, rumbo a sabana",3
CAMION TURBO MIXTA,"Movimiento de plantas, taladro y herramienta PR22 a PR20 y PR17, movimiento de planta PR20 a PR22 y PR10 con PMT, cargue descole arena en PR10 para dejar en varios PR, se buscan pulidoras y circular PR20 para gaurdar en PR22, personal para sabana",3
CAMION TURBO MIXTA,"Movimientos PMT y maletines, carpa y demas cosas PR19, movimientos de varilla PR20, movimiento de señales de aproximacion PR19, movimiento de defensa PR21 a PR20, disponible, finalizacion de jornada",3
CAMION TURBO MIXTA,"Movimiento de herramienta planta, pulidora y circular PR22 a PR19-20, movimiento de varilla, alambre de bodega PR20-PR19, movimiento de formaletas PR20, movimiento PR19 para PR20, se buscan taladros, radial y herramienta PR19 a PR22",3
CAMION TURBO MIXTA,"Cargue de plantas - taladros - pulidoras- circular el PR22 para PR19, cargue de materiales formaletas y demas de ODT PR19 a PR23, cargue de materiales en bodega PR33 para PR23 - PR20 - PR19, cargue de pulidoras taladro PR23 para PR22",3
