codigo,tipo,placa,proveedor,medidor,ultima_fecha,ultimo_final,activo
15,VIBROCOMPACTADOR,,,HOROMETRO,2026-09-05,1728,SI
18,VIBROCOMPACTADOR,,EQUINORTE,HOROMETRO,2026-08-28,144,SI
BL002,BULLDOZER,MC725424,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,REVISAR,,,NO
BL005,BULLDOZER,MC705987,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,HOROMETRO,2026-09-09,2546,SI
BL009,BULLDOZER,MC705995,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,HOROMETRO,2026-07-10,1852,NO
CAT074,MINICARGADOR,,EQUINORTE,HOROMETRO,2026-09-05,2317.6,SI
CAT120,MOTONIVELADORA,CAT120,ASOTRASAT,HOROMETRO,2026-06-20,2786.1,NO
CAT320,EXCAVADORA,CAT320,ASOTRASAT,HOROMETRO,2026-06-19,3222.1,NO
CAT900,VIBROCOMPACTADOR RENTAL 900,CS78B,SK RENTAL,HOROMETRO,2026-07-21,7066,NO
CG005,CAMIONES,PENDIENTE,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,KM,2026-08-26,14426,SI
CG007,CAMIONES,NNN624,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,KM,2026-09-08,15151,SI
CR008,COMPACTADORES,N/A,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,HOROMETRO,2026-09-04,2100,SI
CR013,COMPACTADORES,N/A,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,HOROMETRO,2026-09-05,1886,SI
CR016,COMPACTADORES,N/A,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,HOROMETRO,2026-09-09,1824,SI
CR018,COMPACTADORES,N/A,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,REVISAR,,,NO
CR019,COMPACTADORES,N/A,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,HOROMETRO,2026-09-09,1298,SI
CR026,VIBROCOMPACTADOR,POCR026,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,HOROMETRO,2026-09-09,1698,SI
CR028,VIBROCOMPACTADOR,POCR028,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,HOROMETRO,2026-08-17,3193,SI
CR029,VIBROCOMPACTADOR,POCR029,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,HOROMETRO,2026-09-05,1389,SI
CS78B,VIBROCOMPACTADOR,CS78B,GEOEXCON,HOROMETRO,2026-08-18,6709,SI
CT012,CAMIONES,NNM034,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,KM,2026-09-09,31384,SI
EQ01,EXCAVADORA SOBRE LLANTAS,EQ01,EQUINORTE,HOROMETRO,2026-07-03,163.8,NO
EXC001,EXCAVADORAS,MC697221,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,HOROMETRO,2026-08-18,3898,SI
EXC002,EXCAVADORAS,MC685773,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,REVISAR,,,NO
EXC004,EXCAVADORAS,MC697219,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,REVISAR,,,NO
EXC013,EXCAVADORAS,MC706817,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,HOROMETRO,2026-08-06,2512.5,NO
EXC014,EXCAVADORAS,MC706829,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,HOROMETRO,2026-07-18,2065.8,NO
EXC015,EXCAVADORAS,MC706830,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,HOROMETRO,2026-09-09,2711.6,SI
EXC026,EXCAVADORA SOBRE LLANTAS,,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,HOROMETRO,2026-09-05,11363,SI
EXC030,EXCAVADORA,,EQUINORTE,HOROMETRO,2026-09-09,126,SI
EXC04,EXCAVADORA SOBRE LLANTAS,,EQUINORTE,HOROMETRO,2026-09-09,430.7,SI
EXC190,EXCAVADORA SOBRE LLANTAS,,SK RENTAL,HOROMETRO,2026-09-05,4243,SI
GQV887,CARROTANQUE,GQV887,TRANSVISA,HOROMETRO,2026-05-20,8686.2,NO
GQW139,,,,HOROMETRO,2026-08-22,14798.8,SI
LPL321,CAMION TURBO MIXTA,,VELEROS,HOROMETRO,2026-09-05,58139,SI
LPL495,CAMION CISTERNA,LPL495,TRANSVISA,KM,2026-07-18,48034,NO
LPM206,TURBO DE ESTACAS,,COTRASABANA,HOROMETRO,2026-09-08,27415,SI
LPM670,CAMABAJA,,ASOTRASAT,KM,2026-09-05,14579,SI
M73,MINICARGADOR,,EQUINORTE,HOROMETRO,2026-08-20,2177,SI
MC64,RETRO DE LLANTAS,MC645387,GEOEXCON,HOROMETRO,2026-09-09,2267.5,SI
MC86,MINICARGADOR,,,HOROMETRO,2026-09-05,808,SI
MNC319,MINICARGADOR,,DINISSAN,HOROMETRO,2026-09-05,2402.2,SI
MO001,MOTONIVELADORAS,MC007110,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,HOROMETRO,2026-07-18,255.1,NO
MO003,MOTONIVELADORAS,MC719384,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,HOROMETRO,2026-09-04,2361,SI
MO004,MOTONIVELADORAS,MC725594,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,HOROMETRO,2026-09-09,2337,SI
MO009,MOTONIVELADORAS,MC736181,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,HOROMETRO,2026-09-09,2142,SI
NG002,EXTENDEDORAS,PENDIENTE,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,HOROMETRO,2026-09-04,519,SI
NH403,VIBROCOMPACTADOR,,DINISSAN,HOROMETRO,2026-09-09,469,SI
NH404,VIBROCOMPACTADOR,,DINISSAN,HOROMETRO,2026-07-11,599,NO
