elemento,abs_inicio,abs_fin,uf,tipo,orden
tm2 pk 9+800 - 9+990 cs,9800,9990,UF1,,1
RCD 15+800,15800,15800,UF1,,2
ZODME PK30,30000,30000,UF2,,3
tm2 pk 10+730 - 11+370,10730,11370,UF1,,4
tm2 pk 11+370 - 12+240,11370,12240,UF1,,5
tm2 pk 12+240 - 12+822,12240,12822,UF1,,6
tm2 pk 12+822 - 14+225,12822,14225,UF1,,7
tm2 pk 14+225 - 14+635,14225,14635,UF1,,8
tm2 pk 14+635 - 15+460,14635,15460,UF1,,9
tm2 pk 15+460 - 16+210,15460,16210,UF1,,10
tm2 pk 16+210 - 17+120,16210,17120,UF1,,11
tm2 pk 17+120 - 19+000,17120,19000,UF1,,12
tm2 pk 19+000 - 20+875,19000,20875,UF1,,13
tm2 pk 20+875 - 22+650,20875,22650,UF1,,14
tm2 pk 22+650 - 23+820,22650,23820,UF1,,15
tm2 pk 23+820 - 24+800,23820,24800,UF1,,16
tm2 pk 24+800 - 25+530,24800,25530,UF1,,17
tm2 pk 25+530 - 26+612,25530,26612,UF1,,18
tm2 pk 26+612 - 28+303,26612,28303,UF1,,19
tm2 pk 28+303 - 29+600,28303,29600,UF1,,20
tm2 pk 29+600 - 29+995,29600,29995,UF1,,21
tm2 pk 29+995 - 30+500,29995,30500,UF2,,22
tm2 pk 30+500 - 31+942,30500,31942,UF2,,23
tm2 pk 31+942 - 32+508,31942,32508,UF2,,24
tm2 pk 32+508 - 33+090,32508,33090,UF2,,25
tm2 pk 33+090 - 33+380,33090,33380,UF2,,26
tm2 pk 33+380 - 34+445,33380,34445,UF2,,27
tm2 pk 34+445 - 35+700,34445,35700,UF2,,28
tm2 pk 35+700 - 36+399,35700,36399,UF2,,29
tm2 pk 36+555 - 37+080,36555,37080,UF2,,30
tm2 pk 37+655 - 38+064,37655,38064,UF2,,31
tm2 pk 38+064 - 38+864,38064,38864,UF2,,32
tm2 pk 38+864 - 39+200,38864,39200,UF2,,33
tm2 pk 39+200 - 39+560,39200,39560,UF2,,34
ODT1-001,11012,11012,UF1,,35
ODT1-002,11504,11504,UF1,,36
ODT1-003,11581,11581,UF1,,37
ODT1-004,11629,11629,UF1,,38
ODT1-005,65,65,UF1,,39
ODT1-006,11762,11762,UF1,,40
ODT1-007,11823,11823,UF1,,41
ODT1-008,12378,12378,UF1,,42
ODT1-009,12548,12548,UF1,,43
ODT1-010,12631,12631,UF1,,44
ODT1-011,12838,12838,UF1,,45
ODT1-012,12881,12881,UF1,,46
ODT1-013,13003,13003,UF1,,47
ODT1-014,13067,13067,UF1,,48
ODT1-015,13227,13227,UF1,,49
ODT1-016,13376,13376,UF1,,50
ODT1-017,13521,13521,UF1,,51
ODT1-018,13673,13673,UF1,,52
ODT1-019,13849,13849,UF1,,53
ODT1-020,13942,13942,UF1,,54
ODT1-021,14000,14000,UF1,,55
ODT1-022,14044,14044,UF1,,56
ODT1-024,14296,14296,UF1,,57
ODT1-023,14312,14312,UF1,,58
ODT1-024,14296,14296,UF1,,59
ODT1-025,14363,14363,UF1,,60
ODT1-026,14354,14354,UF1,,61
ODT1-028,14523,14523,UF1,,62
ODT1-027,14354,14354,UF1,,63
ODT1-030,14635,14635,UF1,,64
ODT1-029,14651,14651,UF1,,65
ODT1-029,14651,14651,UF1,,66
ODT1-029 (Plano no especifica nombre),14651,14651,UF1,,67
ODT1-031,14783,14783,UF1,,68
ODT1-032,15147,15147,UF1,,69
ODT1-033,15447,15447,UF1,,70
ODT3-023,15475,15475,UF1,,71
ODT3-023,15475,15475,UF1,,72
ODT1-034,15695,15695,UF1,,73
ODT3-024,15707,15707,UF1,,74
ODT3-024,15707,15707,UF1,,75
ODT1-035,15928,15928,UF1,,76
ODT1-036,15564,15564,UF1,,77
ODT1-037,16711,16711,UF1,,78
ODT1-038,17047,17047,UF1,,79
ODT1-039,17717,17717,UF1,,80
ODT1-040,17963,17963,UF1,,81
ODT1-041,18827,18827,UF1,,82
ODT1-042,19072,19072,UF1,,83
ODT1-043B,19362,19362,UF1,,84
ODT1-043A,19362,19362,UF1,,85
ODT1-044A,70,70,UF1,,86
ODT1-044B,30,30,UF1,,87
ODT1-045,19592,19592,UF1,,88
ODT1-046,19786,19786,UF1,,89
ODT1-047,20108,20108,UF1,,90
ODT1-048,20219,20219,UF1,,91
ODT1-049,20442,20442,UF1,,92
ODT1-050,20519,20519,UF1,,93
ODT1-051,20624,20624,UF1,,94
ODT1-052,20755,20755,UF1,,95
ODT1-053,20862,20862,UF1,,96
ODT1-054,21060,21060,UF1,,97
ODT1-055,21161,21161,UF1,,98
ODT1-056,21676,21676,UF1,,99
ODT1-057,21386,21386,UF1,,100
ODT1-058,21714,21714,UF1,,101
ODT1-059,22221,22221,UF1,,102
ODT1-060,23246,23246,UF1,,103
ODT1-061,22432,22432,UF1,,104
ODT1-062,23073,23073,UF1,,105
ODT1-063,23376,23376,UF1,,106
ODT1-064,23796,23796,UF1,,107
ODT1-065,24008,24008,UF1,,108
ODT1-066,24878,24878,UF1,,109
ODT1-067,24929,24929,UF1,,110
ODT1-068,25143,25143,UF1,,111
ODT1-069,25436,25436,UF1,,112
ODT1-070,25564,25564,UF1,,113
ODT1-071,25699,25699,UF1,,114
ODT1-072,25803,25803,UF1,,115
ODT1-073,25888,25888,UF1,,116
ODT1-074,26679,26679,UF1,,117
ODT1-075,27355,27355,UF1,,118
ODT1-076,27784,27784,UF1,,119
ODT1-077,28246,28246,UF1,,120
ODT1-078,28348,28348,UF1,,121
ODT1-079,28550,28550,UF1,,122
ODT1-080,28753,28753,UF1,,123
ODT1-081,28950,28950,UF1,,124
ODT1-082,29198,29198,UF1,,125
ODT1-083,29600,29600,UF1,,126
ODT1-084,29635,29635,UF1,,127
ODT2-001,30430,30430,UF2,,128
ODT2-002,30465,30465,UF2,,129
ODT2-003,31006,31006,UF2,,130
ODT2-004,31280,31280,UF2,,131
ODT2-005,31518,31518,UF2,,132
ODT2-006,31939,31939,UF2,,133
ODT2-006,31939,31939,UF2,,134
ODT2-007,32425,32425,UF2,,135
ODT2-008,32732,32732,UF2,,136
ODT2-009,33334,33334,UF2,,137
ODT2-009,33334,33334,UF2,,138
ODT2-010,33677,33677,UF2,,139
ODT2-011,33859,33859,UF2,,140
ODT2-012,34264,34264,UF2,,141
ODT2-013,34737,34737,UF2,,142
ODT2-014,35003,35003,UF2,,143
ODT2-016,35096,35096,UF2,,144
ODT2-015,35250,35250,UF2,,145
ODT2-018,35241,35241,UF2,,146
ODT2-017,35241,35241,UF2,,147
ODT2-017-2,35241,35241,UF2,,148
ODT2-017,35241,35241,UF2,,149
ODT2-020,35425,35425,UF2,,150
ODT2-019,35423,35423,UF2,,151
ODT2-019,35425,35425,UF2,,152
ODT2-021,35506,35506,UF2,,153
ODT2-022,35515,35515,UF2,,154
