cc,descripcion,unidad,capitulo,grupo,uf,proyecto,orden
3701.01.01,Demolición de edificaciones,m2,DEMOLICIONES Y REUBICACIONES,TIERRAS,UF1,3701,1
3701.01.02,Demolición de Estructuras,m3,DEMOLICIONES Y REUBICACIONES,DRENAJES Y ESTRUCTURAS,UF1,3701,2
3701.01.03,Remoción de alcantarillas,m,DEMOLICIONES Y REUBICACIONES,DRENAJES Y ESTRUCTURAS,UF1,3701,3
3701.01.04,Remoción de cercas de alambre,m,DEMOLICIONES Y REUBICACIONES,TIERRAS,UF1,3701,4
3701.01.05,Cercas de alambre de púas con postes de concreto,m,DEMOLICIONES Y REUBICACIONES,TIERRAS,UF1,3701,5
3701.02.01,Desmonte y limpieza en bosque,Ha,EXPLANACIONES,TIERRAS,UF1,3701,6
3701.02.02,Aprovechamiento forestal,Und,EXPLANACIONES,TIERRAS,UF1,3701,7
3701.02.03,Desmonte y limpieza en zonas no boscosas,Ha,EXPLANACIONES,TIERRAS,UF1,3701,8
3701.02.04,Excavación en roca de la explanación y canales,m3,EXPLANACIONES,TIERRAS,UF1,3701,9
3701.02.05,Excavaciones en material común APROVECHABLE,m3,EXPLANACIONES,TIERRAS,UF1,3701,10
3701.02.05,Excavaciones en material común NO APROVECHABLE,m3,EXPLANACIONES,TIERRAS,UF1,3701,11
3701.02.06,Excavación en material común de préstamos,m3,EXPLANACIONES,TIERRAS,UF1,3701,12
3701.02.07,Terraplenes (solo conformación),m3,EXPLANACIONES,TIERRAS,UF1,3701,13
3701.02.08,Conformación y disposición de sobrantes (incluye obras de adecuación),m3,EXPLANACIONES,TIERRAS,UF1,3701,14
3701.02.09,Caminos y accesos,m3,EXPLANACIONES,TIERRAS,UF1,3701,15
3701.02.10,Transporte de la excavación entre cien metros (100 m) y mil metros (1.000 m),m3-Estación,TRANSPORTE EXPLANACIONES,TIERRAS,UF1,3701,16
3701.02.11,Transporte de la excavación de la explanación distancias mayores de mil metros (1000 m),m3-km,TRANSPORTE EXPLANACIONES,TIERRAS,UF1,3701,17
3701.03.01,Subbase Granular,m3,"BASES, SUBBASES Y AFIRMADOS",TIERRAS,UF1,3701,18
3701.03.03,Base granular estabilizada con cemento (No incluye cemento),m3,"BASES, SUBBASES Y AFIRMADOS",TIERRAS,UF1,3701,19
3701.03.05,Cemento hidráulico para base tratada con cemento,kg,"BASES, SUBBASES Y AFIRMADOS",TIERRAS,UF1,3701,20
3701.03.02,Transporte de subbase granular,m3-km,TRANSPORTE FIRMES,TIERRAS,UF1,3701,21
3701.03.04,Transporte de base granular,m3-km,TRANSPORTE FIRMES,TIERRAS,UF1,3701,22
3701.04.01,Riego de imprimación con emulsión asfáltica,m2,PAVIMENTOS ASFALTICOS,PAVIMENTOS,UF1,3701,23
3701.04.02,Riego de Liga con emulsión asfáltica,m2,PAVIMENTOS ASFALTICOS,PAVIMENTOS,UF1,3701,24
3701.04.03,Mezcla densa en caliente tipo MDC-25 Base Asfáltica,m3,PAVIMENTOS ASFALTICOS,PAVIMENTOS,UF1,3701,25
3701.04.04,Mezcla asfáltica modificada con grano de caucho,m3,PAVIMENTOS ASFALTICOS,PAVIMENTOS,UF1,3701,26
3701.04.05,Mezcla asfáltica tipo MDC-19 modificada con polímero tipo III,m3,PAVIMENTOS ASFALTICOS,PAVIMENTOS,UF1,3701,27
3701.11.02,Limpieza entrega fin de obra,m3-km,PAVIMENTOS ASFALTICOS,PAVIMENTOS,UF1,3701,28
3701.04.06,Transporte de mezcla asfáltica,m3-km,TRANSPORTE FIRMES,TIERRAS,UF1,3701,29
3701.06.01,Excavaciones varias sin clasicar,m3,DRENAJE TRANSVERSAL,DRENAJES Y ESTRUCTURAS,UF1,3701,30
3701.06.02,Rellenos con material seleccionado,m3,DRENAJE TRANSVERSAL,DRENAJES Y ESTRUCTURAS,UF1,3701,31
3701.06.03,Material granular drenante,m3,DRENAJE TRANSVERSAL,DRENAJES Y ESTRUCTURAS,UF1,3701,32
3701.06.04,Acero de refuerzo Fy=420 Mpa.,kg,DRENAJE TRANSVERSAL,DRENAJES Y ESTRUCTURAS,UF1,3701,33
3701.06.05,Tubería de Concreto Reforzado de 900mm de diámetro interior (Tipo III),m,DRENAJE TRANSVERSAL,DRENAJES Y ESTRUCTURAS,UF1,3701,34
3701.06.06,Tubería de Concreto Reforzado de 1200 mm de diámetro interior (Tipo III),m,DRENAJE TRANSVERSAL,DRENAJES Y ESTRUCTURAS,UF1,3701,35
3701.06.07,"Concreto clase 14 MPA (solados, estructuras)",m3,DRENAJE TRANSVERSAL,DRENAJES Y ESTRUCTURAS,UF1,3701,36
3701.06.08,"Concreto clase 21 MPA (atraques, cabezales)",m3,DRENAJE TRANSVERSAL,DRENAJES Y ESTRUCTURAS,UF1,3701,37
3701.06.09,"Concreto clase  28 MPA (encoles, descoles, box, sumideros)",m3,DRENAJE TRANSVERSAL,DRENAJES Y ESTRUCTURAS,UF1,3701,38
3701.06.10,Cinta pvc para juntas,m,DRENAJE TRANSVERSAL,DRENAJES Y ESTRUCTURAS,UF1,3701,39
